UPS CGC/PI,Jul/94,Ago/94,Set/94,Out/94,Nov/94,Dez/94,Jan/95,Fev/95,Mar/95,Abr/95,Mai/95,Jun/95,Jul/95,Ago/95,Set/95,Out/95,Nov/95,Dez/95,Jan/96,Fev/96,Mar/96,Abr/96,Mai/96,Jun/96,Jul/96,Ago/96,Set/96,Out/96,Nov/96,Dez/96,Jan/97,Fev/97,Mar/97,Abr/97,Mai/97,Jun/97,Jul/97,Ago/97,Set/97,Out/97,Nov/97,Dez/97,Jan/98,Fev/98,Mar/98,Abr/98,Mai/98,Jun/98,Jul/98,Ago/98,Set/98,Out/98,Nov/98,Dez/98,Jan/99,Fev/99,Mar/99,Abr/99,Mai/99,Jun/99,Jul/99,Ago/99,Total
06.665.244/0001-70-APAE,1115.76,2985.24,2503.9599999999996,2530.1200000000003,4699.0599999999995,3911.79,1793.3799999999999,2722.6800000000003,2739.46,2134.18,3178.119999999999,3099.96,2483.22,3012.3399999999992,3824.96,966.8200000000002,1118.2700000000002,992.8199999999999,1706.6200000000001,1427.5,1888.61,3072,1575.5000000000002,1024.2399999999998,1239.6999999999998,1370.22,2006.15,3592.49,7523.54,5804.84,7572.98,7775.58,7759.96,7866.44,7639.44,7583.41,6598.66,5899.36,5803.87,5800.75,5731.7699999999995,2983.8,6419.52,6870.72,7281.36,7244.9800000000005,7448.66,8849.84,9234.21,9075.3,9203.679999999998,8995.26,9067.14,8540.28,9345.45,9021.04,9258.24,9214.04,9191.8,9240.53,8577.18,8873.679999999997,328012.47999999986
06.665.947/0001-06-INEL,236.8,320,320,320,320,196.8,329.6,273.6,320,164.8,139.2,100.8,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3201.6
06.668.354/0001-95-IMEP,1333.8600000000001,1333.8600000000001,1333.8600000000001,1333.8600000000001,1333.8600000000001,1333.8600000000001,1333.8600000000001,1333.8600000000001,1333.8600000000001,805.11,643.16,1333.8600000000001,1333.8600000000001,1166.0700000000002,1333.8600000000001,954.9,1085.19,1142.24,1243.4199999999998,852.65,1265.6100000000001,1493.3799999999999,586.5799999999999,662.23,378.28999999999996,410.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28695.620000000014
06.681.852/0001-78-POPI,3768.26,3754.3799999999997,3969.3,4624.219999999999,4647.12,4617.86,4764.16,4672.42,4813.759999999999,4825.04,4736.32,3386.7599999999998,3427.96,3322.62,3377.3599999999997,3351.2400000000002,3370.1200000000003,3454,3376.0000000000005,3391.1600000000003,3362.88,6639.12,3384.66,3326.1,2328.7,2549.32,2549.04,2549.0600000000004,2574.1,2532.44,2549.62,2548.84,2549.6800000000003,2549.34,2549.44,2549.5400000000004,2344.94,2019.56,2009.6999999999998,1458.0200000000002,2002.4,2010.66,2010.6599999999999,2010.66,2009.62,2010.59,2005.02,2010.1400000000003,2010.8000000000002,2010.5100000000002,2510.16,2508.6099999999997,2511.9399999999996,2512.69,2512.21,2513.05,2513.2699999999995,2512.5,2511.15,2511.4100000000003,2513.0900000000006,2513.3199999999997,184808.62
06.682.512/0001-61-LABORATORIO VIRGINIA C BRANCO,4063.9700000000003,3407.87,4106.22,3895.59,4065,4012.94,3970.6299999999997,4096.38,4077.49,3591.0799999999995,3428.7,2965.5899999999997,2834.7899999999995,2855.48,2820.26,2862.98,2905.91,2765.7599999999993,2839.97,2774.74,2789.7,3924.94,2379.8,1980.7300000000002,1507.18,1506.9399999999998,1506.3000000000002,1507.3899999999999,1507.0900000000001,1508.8,1506.2399999999998,1506.8,1466.7399999999998,1506.0099999999998,1478.82,1507.23,1386.6000000000004,1355.62,1493.98,1494.64,1494.38,1494.0500000000002,1495.1200000000001,1494.6800000000003,1494.0000000000005,1494.8000000000002,1493.9999999999998,1869.0399999999997,1868.5299999999997,1868.17,1855.2399999999998,1867.7500000000002,1867.5299999999997,1868.9900000000005,1867.4,1867.6,1867.5900000000001,1867.8000000000002,1868.44,1867.8799999999999,1868.88,1868.91,141633.68000000002
06.684.112/0001-95-LAB PICOENSE DE ANAL CLINICAS,1348.1200000000001,1358.5,1416.48,1370.74,1262.8600000000001,1398.8600000000001,1393.74,1349.8200000000002,1420.3799999999999,1234.06,1403.5500000000002,1170.74,1309.3799999999999,1159.46,0,665.35,1397.4499999999998,1190.17,1341.3199999999997,251.10000000000002,419.90000000000003,1337.61,1350.02,0,1140.58,1140.8,1141.17,1140.5800000000002,1140.5900000000001,1139.58,1140.0300000000002,1140.38,1140.6899999999998,1112.2,1139.0500000000002,1140.68,1141.01,965.7800000000001,1136.39,1140.5100000000002,1123.51,1026.43,1025.61,1140.74,1140.68,1125.4900000000002,1139.9699999999998,1424.83,1406.89,1395.45,1313.3799999999999,1400.8400000000001,1426.27,1426.3799999999999,1425.2699999999998,1426.29,1426.3899999999999,1426.36,1425.9,1426.1000000000001,1425.79,1425.25,73513.44999999998
06.684.674/0001-39-CLINICA ODONT JOSE MARTINS BARR,2842.3000000000006,2872.42,2823.6600000000003,2867.74,2840.87,2847.33,2814.56,2896.1099999999997,2860.5699999999997,2908.77,2895,3298.5099999999998,3273.67,3693.4900000000002,3451.1499999999996,3965.02,4236.219999999999,4109.68,4102.5599999999995,3810.3799999999997,4128.289999999999,4154.889999999999,4401.3,2861.14,3366.08,3366.9,3365.86,3366.03,4366.51,4368,4367.35,4366.61,4366.91,4366.5599999999995,4366.06,4366.6,4367.7300000000005,4366.63,4366.62,4367.43,4366.070000000001,4367.37,4367.1,2183.03,3056.76,3057.5299999999997,3056.5800000000004,3337.36,3078.41,3126.33,3217.11,3136.77,3094.73,3135.9,3120.24,3101.03,3135.27,3118.18,3091.2,2751.15,2741.2,2749.8600000000006,217212.68999999994
06.684.724/0001-88-CLINICA ODONTOLOGICA DE PICOS,1308.4399999999998,1298.8999999999999,1240.04,1332.6399999999999,1325.3200000000002,1324.32,1298.3400000000001,1295.3600000000001,1293.16,1312.42,1339.68,1315.62,1320.3799999999999,1311.5400000000002,1291.6599999999999,1303.0400000000002,1280.72,1295.42,1310.5400000000002,1308.18,1307.8200000000002,1264.52,1324.42,1108.48,1303.28,1304.58,1304.14,1303.6599999999999,1304,1303.7,1303.6599999999999,1304.3400000000001,1288.6200000000001,1304.36,1303.9,1303.72,1303.5,1303.5,1225.32,1303.56,1304.6399999999999,1304.28,1304.76,652.2600000000001,912.69,912.9,912.7999999999998,1015.5100000000001,1004.67,1016.62,1015.27,1000.1800000000001,1007.4000000000001,1009.3500000000001,1012.3300000000002,1007.28,1002.6400000000001,993.87,995.57,821.0699999999999,821.6600000000001,821.1700000000001,73727.72000000003
06.687.453/0001-14-CLINICA SAO CAMILO,65.28,0,73.44,0,38.76,0,0,0,0,0,0,0,116.28,0,0,0,38.76,0,14.28,14.28,18.36,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.63999999999993
06.691.026/0001-00-LABORATORIO LUIZ PIRES,3793.6200000000003,3653.8099999999995,3796.8100000000004,3829.9799999999996,3884.5,3718.27,3757.81,3826.8199999999997,3815.91,3887.77,3474.61,2688.49,2722.61,2660.31,2684.2,2673.2400000000002,2650.9099999999994,2698.17,2624.959999999999,2572.01,2586.4300000000003,5344.4800000000005,2097.38,1747.48,1606.2,1630.9900000000002,1608.88,1610.4499999999998,1846.6799999999998,1865.2900000000002,1841.4399999999998,1873.51,1865.46,1859.0300000000002,1871.19,1809.8400000000004,1769.68,1523.19,1516.8700000000001,1516.4199999999998,1516.85,1517.2299999999998,1516.92,1516.78,1498.8200000000002,1483.0299999999997,1478.99,1864.62,1852.0300000000002,1895.1999999999998,1896.39,1896.0799999999997,1894.8100000000002,1895.36,1896.49,1894.7799999999997,1896.38,1895.3899999999999,1896.2700000000002,1891.1099999999997,1896.5500000000002,1895.34,143691.11999999997
